outline-naive-16,0.436876,9.358860,11.504944
outline-predicated-16,0.436748,4.295291,6.441822
outline-mipmapped-16,0.435857,6.792306,8.954514
outline-naive-32,0.448687,17.833099,20.067381
outline-predicated-32,0.448141,8.851309,11.028335
outline-mipmapped-32,0.448396,10.963958,13.136880
outline-naive-64,0.498388,34.849490,37.111014
outline-predicated-64,0.498671,17.500975,19.726460
outline-mipmapped-64,0.498646,16.411312,18.639283
outline-naive-128,1.248098,73.209958,76.531429
outline-predicated-128,1.247331,39.624144,42.690097
outline-mipmapped-128,1.247076,22.767284,25.800024
outline-naive-256,4.978851,172.895346,180.931192
outline-predicated-256,4.978890,111.796594,119.226351
outline-mipmapped-256,4.978702,29.721769,36.651679
random0.000-mipmapped-256,4.979257,29.727349,36.654130
random0.001-mipmapped-256,5.188737,64.441384,71.789416
random0.005-mipmapped-256,6.029862,74.456465,82.815824
random0.010-mipmapped-256,7.078959,70.831099,80.198578
random0.050-mipmapped-256,16.158038,25.159547,43.294672
random0.100-mipmapped-256,27.495613,12.170931,41.679302
random0.500-mipmapped-256,113.191415,4.157230,120.306620
random1.000-mipmapped-256,216.175947,4.271687,225.599857
